sub	file	q	arm	psnr	ssim2	butter_n3
photos	20231206_150232.png	35	lanczos	17.578	8.675	5.7105
photos	20231206_150232.png	35	span_direct	18.290	12.240	4.7681
photos	20231206_150232.png	35	compact_direct	18.303	11.068	4.7323
photos	20231206_150232.png	35	span_chain	18.354	13.304	4.7159
photos	20231206_150232.png	35	compact_chain	18.362	11.784	4.6719
photos	20231206_150232.png	50	lanczos	17.798	17.758	5.4076
photos	20231206_150232.png	50	span_direct	18.538	20.169	4.4195
photos	20231206_150232.png	50	compact_direct	18.543	18.231	4.3965
photos	20231206_150232.png	50	span_chain	18.571	20.313	4.3988
photos	20231206_150232.png	50	compact_chain	18.577	18.358	4.3626
photos	20231206_150232.png	75	lanczos	18.100	28.351	5.1418
photos	20231206_150232.png	75	span_direct	18.839	28.621	4.1206
photos	20231206_150232.png	75	compact_direct	18.851	26.552	4.1004
photos	20231206_150232.png	75	span_chain	18.844	28.341	4.1136
photos	20231206_150232.png	75	compact_chain	18.863	26.429	4.0795
photos	20240528_210945.jpg	35	lanczos	22.213	19.328	4.5457
photos	20240528_210945.jpg	35	span_direct	22.795	19.130	4.0309
photos	20240528_210945.jpg	35	compact_direct	22.755	17.829	4.0137
photos	20240528_210945.jpg	35	span_chain	22.887	19.555	4.0037
photos	20240528_210945.jpg	35	compact_chain	22.831	18.211	3.9708
photos	20240528_210945.jpg	50	lanczos	22.729	30.192	4.1346
photos	20240528_210945.jpg	50	span_direct	23.323	28.975	3.5941
photos	20240528_210945.jpg	50	compact_direct	23.256	27.381	3.5860
photos	20240528_210945.jpg	50	span_chain	23.370	28.973	3.5763
photos	20240528_210945.jpg	50	compact_chain	23.297	27.506	3.5500
photos	20240528_210945.jpg	75	lanczos	23.508	44.307	3.7865
photos	20240528_210945.jpg	75	span_direct	24.074	41.152	3.1368
photos	20240528_210945.jpg	75	compact_direct	24.011	39.895	3.1165
photos	20240528_210945.jpg	75	span_chain	24.067	40.880	3.1319
photos	20240528_210945.jpg	75	compact_chain	24.013	39.820	3.0939
photos	Screenshot_20260526_074348_Photos.png	35	lanczos	29.428	27.676	3.5179
photos	Screenshot_20260526_074348_Photos.png	35	span_direct	29.743	32.963	3.3299
photos	Screenshot_20260526_074348_Photos.png	35	compact_direct	29.974	34.129	3.2089
photos	Screenshot_20260526_074348_Photos.png	35	span_chain	29.906	34.187	3.2763
photos	Screenshot_20260526_074348_Photos.png	35	compact_chain	30.135	33.986	3.1649
photos	Screenshot_20260526_074348_Photos.png	50	lanczos	29.881	38.096	3.0718
photos	Screenshot_20260526_074348_Photos.png	50	span_direct	30.169	41.030	2.9418
photos	Screenshot_20260526_074348_Photos.png	50	compact_direct	30.411	41.268	2.8346
photos	Screenshot_20260526_074348_Photos.png	50	span_chain	30.270	41.335	2.9270
photos	Screenshot_20260526_074348_Photos.png	50	compact_chain	30.501	40.556	2.8079
photos	Screenshot_20260526_074348_Photos.png	75	lanczos	30.569	50.875	2.6540
photos	Screenshot_20260526_074348_Photos.png	75	span_direct	30.707	51.087	2.5742
photos	Screenshot_20260526_074348_Photos.png	75	compact_direct	30.994	51.003	2.4673
photos	Screenshot_20260526_074348_Photos.png	75	span_chain	30.764	50.978	2.5719
photos	Screenshot_20260526_074348_Photos.png	75	compact_chain	31.035	50.392	2.4594
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	35	lanczos	35.433	23.572	2.8510
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	35	span_direct	30.771	27.333	4.9516
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	35	compact_direct	34.448	24.047	2.9359
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	35	span_chain	30.780	26.604	4.9328
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	35	compact_chain	34.518	20.978	2.9571
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	50	lanczos	36.267	37.762	2.3498
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	50	span_direct	30.868	38.007	4.9326
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	50	compact_direct	34.928	34.310	2.6852
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	50	span_chain	30.830	36.450	4.9543
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	50	compact_chain	34.886	30.482	2.7356
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	75	lanczos	37.655	57.008	1.7974
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	75	span_direct	31.071	52.182	4.7887
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	75	compact_direct	35.834	49.457	2.2639
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	75	span_chain	30.916	49.983	4.8687
people	alexander-aguero-EnppVuXbcCE-unsplash.jpg	75	compact_chain	35.721	46.055	2.3142
